"id","user_id"
25219,66
25508,66
25576,66
25906,66
27200,66
29786,66
30493,66
30691,66
31060,66
32119,66
32193,66
33951,66
34140,66
37097,66
38188,66
40112,66
45583,66
51325,66
57828,66
63254,66
69604,66
80513,66
81793,66
87110,66
96048,66
84726,82
109177,82
1375,91
1376,91
546,96
3071,96
331,97
332,97
333,97
335,97
337,97
338,97
339,97
396,97
431,97
448,97
34443,97
68334,97
652,98
839,98
1490,98
1553,98
2202,98
3189,98
7161,98
12043,98
12741,98
13400,98
13894,98
14025,98
19213,98
21856,98
22710,98
23253,98
23265,98
23807,98
24303,98
24305,98
24842,98
25139,98
25140,98
25793,98
31750,98
32270,98
32446,98
35143,98
35986,98
36786,98
41202,98
44991,98
51967,98
58462,98
58463,98
61866,98
71414,98
72309,98
78770,98
80034,98
80037,98
88816,98
88883,98
90024,98
90350,98
92038,98
93746,98
93748,98
95396,98
95744,98
102974,98
105221,98
107580,98
108346,98
108350,98
109310,98
111590,98
111591,98
113013,98
113401,98
113403,98
115519,98
469,106
470,106
471,106
472,106
483,106
516,106
567,106
645,106
1146,106
1147,106
2436,106
22649,106
22742,106
22780,106
277,108
278,108
301,108
322,108
324,108
372,108
381,108
397,108
398,108
399,108
473,108
475,108
477,108
526,108
527,108
528,108
7567,108
8686,108
12360,108
24061,108
132,110
134,110
403,110
529,110
536,110
1488,110
2205,110
22648,110
620,116
1809,117
43471,118
50153,118
94533,118
79301,122
80650,122
382,125
1499,125
1500,125
1508,125
1513,125
1514,125
34438,125
45009,125
54195,125
57155,125
57304,125
64584,125
65166,125
65168,125
69444,125
88743,125
88744,125
108400,125
108402,125
111519,125
40,126
8947,128
8948,128
1447,129
1448,129
1452,129
41,131
1577,136
1578,136
226,138
227,138
228,138
549,138
552,139
553,139
557,139
558,139
370,144
371,144
378,144
432,144
436,144
441,144
705,144
13746,144
14029,144
14031,144
16489,144
16490,144
16502,144
16618,144
16638,144
17487,144
18759,144
20852,144
22575,144
22577,144
22627,144
32271,144
67465,144
88532,144
88534,144
89581,144
95783,144
98943,144
99776,144
99785,144
99867,144
99869,144
105367,144
363,167
607,173
38506,174
39355,174
69201,174
79996,174
328,175
329,175
330,175
637,175
775,175
757,202
863,202
864,202
1007,202
1289,202
1290,202
15064,202
15939,202
21392,202
167,207
91449,213
24196,222
169,227
170,227
45051,227
45055,227
4056,228
175,233
176,233
177,233
78035,233
502,237
503,237
504,237
505,237
603,237
605,237
606,237
626,237
178,246
179,246
180,246
181,246
184,246
185,246
186,246
187,246
188,246
201,246
204,246
205,246
206,246
207,246
208,246
209,246
210,246
216,246
217,246
218,246
219,246
222,246
223,246
224,246
225,246
232,246
294,246
295,246
334,246
336,246
340,246
341,246
343,246
346,246
347,246
426,246
427,246
434,246
435,246
460,246
704,246
1756,246
5626,252
6189,252
7603,252
182,254
706,277
1459,277
1460,277
1461,277
189,282
190,282
313,286
314,286
315,286
323,286
325,286
402,286
464,286
478,286
534,286
648,286
668,286
1300,286
24325,300
27734,300
29503,300
29504,300
29586,300
34017,300
36550,300
39280,300
193,302
194,302
260,309
261,309
1395,309
1398,309
198,316
199,316
200,316
439,316
440,316
450,316
492,316
554,316
555,316
556,316
56106,318
576,320
577,320
578,320
579,320
580,320
585,320
586,320
4523,320
1149,348
4995,353
18805,353
19115,353
19338,353
19370,353
19567,353
19690,353
20045,353
21122,353
22652,353
23414,353
23417,353
23438,353
23913,353
23962,353
24105,353
24253,353
24317,353
24401,353
24413,353
24415,353
24435,353
24515,353
24516,353
24801,353
24802,353
25124,353
25353,353
25393,353
25454,353
25848,353
